Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Tijuca;2;1;0;110;1900.0;700.0;138.0;17.27;Apartamento
Apartamento;Tijuca;2;1;0;78;2000.0;700.0;0.0;25.64;Apartamento
Apartamento;Tijuca;1;0;0;48;750.0;772.0;25.0;15.62;Apartamento
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;22.5;Apartamento
Apartamento;Tijuca;3;1;0;172;2700.0;780.0;170.0;15.7;Apartamento
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;18.39;Apartamento
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;32.05;Apartamento
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;18.46;Apartamento
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;24.0;Apartamento
Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;21.13;Apartamento
Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;36.0;Apartamento
Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;22.22;Apartamento
Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;13.95;Apartamento
Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;21.34;Apartamento
Apartamento;Tijuca;1;0;0;36;1300.0;295.0;24.0;36.11;Apartamento
Apartamento;Tijuca;2;1;1;70;1500.0;890.0;68.0;21.43;Apartamento
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;26.14;Apartamento
Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0;17.24;Apartamento
Apartamento;Tijuca;1;1;1;84;2000.0;718.0;120.0;23.81;Apartamento
Apartamento;Tijuca;2;0;0;49;1800.0;180.0;0.0;36.73;Apartamento
Apartamento;Tijuca;1;1;1;87;1400.0;1057.0;162.0;16.09;Apartamento
Apartamento;Tijuca;2;1;0;60;1800.0;420.0;0.0;30.0;Apartamento
Apartamento;Tijuca;2;1;0;70;1850.0;748.0;48.0;26.43;Apartamento
